timestamp,bus,can_id,payload
1780709687.292002,vcan0,600,00000000
1780709687.292169,vcan0,601,7F000000
1780709687.292278,vcan0,602,00000000
1780709687.307898,vcan0,600,00000000
1780709687.308047,vcan0,601,7F000000
1780709687.308149,vcan0,602,00000000
1780709687.323875,vcan0,600,00000000
1780709687.324038,vcan0,601,7F000000
1780709687.324145,vcan0,602,00000000
1780709687.437485,vcan0,600,00000000
1780709687.437656,vcan0,601,7F000000
1780709687.437756,vcan0,602,00000000
1780709687.437827,vcan0,603,00000000
1780709687.437939,vcan0,604,00
1780709687.438057,vcan0,605,00
1780709687.438172,vcan0,607,00
1780709687.452909,vcan0,600,00000000
1780709687.453062,vcan0,601,7F000000
1780709687.453152,vcan0,602,00000000
1780709687.468965,vcan0,600,00000000
1780709687.469115,vcan0,601,7F000000
1780709687.469214,vcan0,602,00000000
1780709687.484782,vcan0,600,00000000
1780709687.484888,vcan0,601,7F000000
1780709687.484960,vcan0,602,00000000
1780709687.591665,vcan0,600,00000000
1780709687.591838,vcan0,601,7F000000
1780709687.591959,vcan0,602,00000000
1780709687.592054,vcan0,603,00000000
1780709687.592157,vcan0,604,00
1780709687.592252,vcan0,605,00
1780709687.592357,vcan0,607,00
1780709687.606792,vcan0,600,00000000
1780709687.606928,vcan0,601,7F000000
1780709687.607016,vcan0,602,00000000
1780709687.622786,vcan0,600,00000000
1780709687.622918,vcan0,601,7F000000
1780709687.623007,vcan0,602,00000000
1780709687.638806,vcan0,600,00000000
1780709687.638941,vcan0,601,7F000000
1780709687.639028,vcan0,602,00000000
1780709687.734258,vcan0,600,00000000
1780709687.734517,vcan0,601,7F000000
1780709687.734642,vcan0,602,00000000
1780709687.734740,vcan0,603,00000000
1780709687.734832,vcan0,604,00
1780709687.734966,vcan0,605,00
1780709687.735407,vcan0,607,00
1780709687.749634,vcan0,600,00000000
1780709687.749760,vcan0,601,7F000000
1780709687.749859,vcan0,602,00000000
1780709687.765739,vcan0,600,00000000
1780709687.765884,vcan0,601,7F000000
1780709687.766000,vcan0,602,00000000
1780709687.781782,vcan0,600,00000000
1780709687.781928,vcan0,601,7F000000
1780709687.782031,vcan0,602,00000000
1780709687.881410,vcan0,600,00000000
1780709687.881793,vcan0,601,7F000000
1780709687.881993,vcan0,602,00000000
1780709687.882111,vcan0,603,00000000
1780709687.882220,vcan0,604,00
1780709687.882328,vcan0,605,00
1780709687.882435,vcan0,607,00
1780709687.896753,vcan0,600,00000000
1780709687.896881,vcan0,601,7F000000
1780709687.896974,vcan0,602,00000000
1780709687.912881,vcan0,600,00000000
1780709687.913036,vcan0,601,7F000000
1780709687.913126,vcan0,602,00000000
1780709687.928787,vcan0,600,00000000
1780709687.928937,vcan0,601,7F000000
1780709687.929032,vcan0,602,00000000
1780709688.027351,vcan0,600,00000000
1780709688.027518,vcan0,601,7F000000
1780709688.027616,vcan0,602,00000000
1780709688.027717,vcan0,603,00000000
1780709688.027826,vcan0,604,00
1780709688.027912,vcan0,605,00
1780709688.028006,vcan0,607,00
1780709688.042873,vcan0,600,00000000
1780709688.043009,vcan0,601,7F000000
1780709688.043081,vcan0,602,00000000
1780709688.058841,vcan0,600,00000000
1780709688.058953,vcan0,601,7F000000
1780709688.059024,vcan0,602,00000000
1780709688.074774,vcan0,600,00000000
1780709688.074882,vcan0,601,7F000000
1780709688.074957,vcan0,602,00000000
1780709688.174925,vcan0,600,00000000
1780709688.175110,vcan0,601,7F000000
1780709688.175217,vcan0,602,00000000
1780709688.175418,vcan0,603,00000000
1780709688.175549,vcan0,604,00
1780709688.175622,vcan0,605,00
1780709688.175716,vcan0,607,00
1780709688.189668,vcan0,600,00000000
1780709688.189786,vcan0,601,7F000000
1780709688.189874,vcan0,602,00000000
1780709688.205818,vcan0,600,00000000
1780709688.205955,vcan0,601,7F000000
1780709688.206045,vcan0,602,00000000
1780709688.221755,vcan0,600,00000000
1780709688.221896,vcan0,601,7F000000
1780709688.221989,vcan0,602,00000000
1780709688.320734,vcan0,600,00000000
1780709688.320904,vcan0,601,7F000000
1780709688.320982,vcan0,602,00000000
1780709688.321090,vcan0,603,00000000
1780709688.321184,vcan0,604,00
