timestamp,bus,can_id,payload
1780710330.117955,vcan0,600,00000000
1780710330.118104,vcan0,601,7F000000
1780710330.118211,vcan0,602,00000000
1780710330.118316,vcan0,603,00000000
1780710330.118426,vcan0,604,00
1780710330.118577,vcan0,605,00
1780710330.132995,vcan0,600,00000000
1780710330.133212,vcan0,601,7F000000
1780710330.133344,vcan0,602,00000000
1780710330.149044,vcan0,600,00000000
1780710330.149219,vcan0,601,7F000000
1780710330.149332,vcan0,602,00000000
1780710330.149440,vcan0,607,00
1780710330.164976,vcan0,600,00000000
1780710330.165138,vcan0,601,7F000000
1780710330.165251,vcan0,602,00000000
1780710330.201160,vcan0,600,00000000
1780710330.201317,vcan0,601,7F000000
1780710330.201410,vcan0,602,00000000
1780710330.201542,vcan0,603,00000000
1780710330.201631,vcan0,604,00
1780710330.201727,vcan0,605,00
1780710330.216003,vcan0,600,00000000
1780710330.216121,vcan0,601,7F000000
1780710330.216193,vcan0,602,00000000
1780710330.231919,vcan0,600,00000000
1780710330.232039,vcan0,601,7F000000
1780710330.232112,vcan0,602,00000000
1780710330.247910,vcan0,600,00000000
1780710330.248030,vcan0,601,7F000000
1780710330.248103,vcan0,602,00000000
1780710330.269473,vcan0,600,00000000
1780710330.269645,vcan0,601,7F000000
1780710330.269744,vcan0,602,00000000
1780710330.269841,vcan0,603,00000000
1780710330.269947,vcan0,604,00
1780710330.270041,vcan0,605,00
1780710330.270155,vcan0,607,00
1780710330.284865,vcan0,600,00000000
1780710330.284969,vcan0,601,7F000000
1780710330.285035,vcan0,602,00000000
1780710330.300886,vcan0,600,00000000
1780710330.300996,vcan0,601,7F000000
1780710330.301072,vcan0,602,00000000
1780710330.316816,vcan0,600,00000000
1780710330.316929,vcan0,601,7F000000
1780710330.317006,vcan0,602,00000000
1780710330.335812,vcan0,600,00000000
1780710330.335990,vcan0,601,7F000000
1780710330.336085,vcan0,602,00000000
1780710330.336179,vcan0,603,00000000
1780710330.336272,vcan0,604,00
1780710330.336361,vcan0,605,00
1780710330.350902,vcan0,600,00000000
1780710330.351014,vcan0,601,7F000000
1780710330.351084,vcan0,602,00000000
1780710330.366958,vcan0,600,00000000
1780710330.367062,vcan0,601,7F000000
1780710330.367129,vcan0,602,00000000
1780710330.395108,vcan0,600,00000000
1780710330.395224,vcan0,601,7F000000
1780710330.395296,vcan0,602,00000000
1780710330.395368,vcan0,603,00000000
1780710330.395431,vcan0,604,00
1780710330.395551,vcan0,605,00
1780710330.395627,vcan0,607,00
1780710330.411055,vcan0,600,00000000
1780710330.411174,vcan0,601,7F000000
1780710330.411246,vcan0,602,00000000
1780710330.427027,vcan0,600,00000000
1780710330.427148,vcan0,601,7F000000
1780710330.427227,vcan0,602,00000000
1780710330.442903,vcan0,600,00000000
1780710330.443012,vcan0,601,7F000000
1780710330.443082,vcan0,602,00000000
1780710330.465546,vcan0,600,00000000
1780710330.465722,vcan0,601,7F000000
1780710330.465828,vcan0,602,00000000
1780710330.465915,vcan0,603,00000000
1780710330.466013,vcan0,604,00
1780710330.466102,vcan0,605,00
1780710330.480875,vcan0,600,00000000
1780710330.480998,vcan0,601,7F000000
1780710330.481068,vcan0,602,00000000
1780710330.496953,vcan0,600,00000000
1780710330.497085,vcan0,601,7F000000
1780710330.497160,vcan0,602,00000000
1780710330.497267,vcan0,607,00
1780710330.526891,vcan0,600,00000000
1780710330.527041,vcan0,601,7F000000
1780710330.527145,vcan0,602,00000000
1780710330.527250,vcan0,603,00000000
1780710330.527351,vcan0,604,00
1780710330.527481,vcan0,605,00
1780710330.542020,vcan0,600,00000000
1780710330.542157,vcan0,601,7F000000
1780710330.542234,vcan0,602,00000000
1780710330.558005,vcan0,600,00000000
1780710330.558141,vcan0,601,7F000000
1780710330.558221,vcan0,602,00000000
1780710330.573948,vcan0,600,00000000
1780710330.574089,vcan0,601,7F000000
1780710330.574204,vcan0,602,00000000
1780710330.595397,vcan0,600,00000000
1780710330.595595,vcan0,601,7F000000
1780710330.595707,vcan0,602,00000000
1780710330.595790,vcan0,603,00000000
1780710330.595876,vcan0,604,00
1780710330.595946,vcan0,605,00
1780710330.611017,vcan0,600,00000000
1780710330.611125,vcan0,601,7F000000
1780710330.611193,vcan0,602,00000000
1780710330.611261,vcan0,607,00
1780710330.626951,vcan0,600,00000000
1780710330.627072,vcan0,601,7F000000
1780710330.627149,vcan0,602,00000000
1780710330.655697,vcan0,600,00000000
1780710330.655829,vcan0,601,7F000000
1780710330.655904,vcan0,602,00000000
1780710330.655973,vcan0,603,00000000
1780710330.656041,vcan0,604,00
1780710330.656105,vcan0,605,00
